name,iso,id,country,admin_level,category,range_type,range,population,under_5_population,under_5_population_share,under_5_population_interval,under_5_population_interval_share,school_age_population,school_age_population_share,school_age_population_interval,school_age_population_interval_share,adults_population,adults_population_share,adults_population_interval,adults_population_interval_share,women_childbearing_population,women_childbearing_population_share,women_childbearing_population_interval,women_childbearing_population_interval_share,elderly_population,elderly_population_share,elderly_population_interval,elderly_population_interval_share,population_share,population_interval,population_interval_share
Joypurhat,,16705992B2288856744536,BGD,ADM2,primary_healthcare,TIME,5400,928806,64307,100.0,0,0.0,277886,100.0,0,0.0,855942,100.0,0,0.0,283718,100.0,0,0.0,80129,100.0,0,0.0,100.0,0,0.0
Joypurhat,,16705992B2288856744536,BGD,ADM2,primary_healthcare,TIME,6000,928806,64307,100.0,0,0.0,277886,100.0,0,0.0,855942,100.0,0,0.0,283718,100.0,0,0.0,80129,100.0,0,0.0,100.0,0,0.0
Joypurhat,,16705992B2288856744536,BGD,ADM2,primary_healthcare,TIME,6600,928806,64307,100.0,0,0.0,277886,100.0,0,0.0,855942,100.0,0,0.0,283718,100.0,0,0.0,80129,100.0,0,0.0,100.0,0,0.0
Joypurhat,,16705992B2288856744536,BGD,ADM2,primary_healthcare,TIME,7200,928806,64307,100.0,0,0.0,277886,100.0,0,0.0,855942,100.0,0,0.0,283718,100.0,0,0.0,80129,100.0,0,0.0,100.0,0,0.0
Bandarban,,16705992B23463827258150,BGD,ADM2,primary_healthcare,TIME,600,22620,2603,4.32,2603,4.32,9952,4.48,9952,4.48,21508,4.24,21508,4.24,5981,4.22,5981,4.22,1289,4.15,1289,4.15,4.23,22620,4.23
Bandarban,,16705992B23463827258150,BGD,ADM2,primary_healthcare,TIME,1200,36975,4238,7.03,1635,2.71,15990,7.19,6038,2.72,35147,6.92,13639,2.69,9769,6.9,3788,2.68,2117,6.82,828,2.67,6.92,14355,2.69
Bandarban,,16705992B23463827258150,BGD,ADM2,primary_healthcare,TIME,1800,201568,22930,38.03,18692,31.0,84288,37.91,68298,30.72,191500,37.72,156353,30.8,53169,37.56,43400,30.66,11645,37.53,9528,30.71,37.71,164593,30.8
Bandarban,,16705992B23463827258150,BGD,ADM2,primary_healthcare,TIME,2400,253273,28641,47.51,5711,9.47,105639,47.51,21351,9.6,240574,47.39,49074,9.67,67018,47.34,13849,9.78,14679,47.31,3034,9.78,47.39,51705,9.67
Bandarban,,16705992B23463827258150,BGD,ADM2,primary_healthcare,TIME,3000,300157,33718,55.93,5077,8.42,124965,56.21,19326,8.69,285048,56.15,44474,8.76,79713,56.31,12695,8.97,17456,56.26,2777,8.95,56.16,46884,8.77
Bandarban,,16705992B23463827258150,BGD,ADM2,primary_healthcare,TIME,3600,378181,42603,70.66,8885,14.74,157759,70.96,32794,14.75,359181,70.76,74133,14.6,100301,70.85,20588,14.54,21958,70.77,4502,14.51,70.76,78024,14.6
