name,iso,id,country,admin_level,category,range_type,range,population,school_age_population,school_age_population_share,school_age_population_interval,school_age_population_interval_share,population_share,population_interval,population_interval_share
Jessore,,16705992B28022870637862,BGD,ADM2,education,DISTANCE,10000,2543673,832303,83.35,262537,26.29,83.34,801702,26.27
Jessore,,16705992B28022870637862,BGD,ADM2,education,DISTANCE,15000,2992921,979199,98.06,146896,14.71,98.06,449248,14.72
Jessore,,16705992B28022870637862,BGD,ADM2,education,DISTANCE,20000,3040127,994638,99.61,15439,1.55,99.61,47206,1.55
Jessore,,16705992B28022870637862,BGD,ADM2,education,DISTANCE,25000,3045518,996400,99.78,1762,0.18,99.78,5391,0.18
Jessore,,16705992B28022870637862,BGD,ADM2,education,DISTANCE,30000,3048806,997476,99.89,1076,0.11,99.89,3288,0.11
Jessore,,16705992B28022870637862,BGD,ADM2,education,DISTANCE,35000,3050626,998071,99.95,595,0.06,99.95,1820,0.06
Jessore,,16705992B28022870637862,BGD,ADM2,education,DISTANCE,40000,3050753,998112,99.95,41,0.0,99.95,127,0.0
Jessore,,16705992B28022870637862,BGD,ADM2,education,DISTANCE,45000,3050753,998112,99.95,0,0.0,99.95,0,0.0
Jessore,,16705992B28022870637862,BGD,ADM2,education,DISTANCE,50000,3050769,998118,99.95,6,0.0,99.95,16,0.0
Brahamanbaria,,16705992B2831557138260,BGD,ADM2,education,DISTANCE,5000,774050,340404,23.91,340404,23.91,23.9,774050,23.9
Brahamanbaria,,16705992B2831557138260,BGD,ADM2,education,DISTANCE,10000,1264222,556013,39.05,215609,15.14,39.03,490172,15.13
Brahamanbaria,,16705992B2831557138260,BGD,ADM2,education,DISTANCE,15000,1848930,813150,57.11,257137,18.06,57.08,584708,18.05
Brahamanbaria,,16705992B2831557138260,BGD,ADM2,education,DISTANCE,20000,2243459,986694,69.3,173544,12.19,69.26,394529,12.18
Brahamanbaria,,16705992B2831557138260,BGD,ADM2,education,DISTANCE,25000,2471366,1086927,76.33,100233,7.04,76.29,227907,7.04
Brahamanbaria,,16705992B2831557138260,BGD,ADM2,education,DISTANCE,30000,2700912,1187910,83.43,100983,7.09,83.38,229546,7.09
Brahamanbaria,,16705992B2831557138260,BGD,ADM2,education,DISTANCE,35000,2821560,1240958,87.15,53048,3.73,87.1,120648,3.72
Brahamanbaria,,16705992B2831557138260,BGD,ADM2,education,DISTANCE,40000,2833412,1246157,87.52,5199,0.37,87.47,11852,0.37
Brahamanbaria,,16705992B2831557138260,BGD,ADM2,education,DISTANCE,45000,2910548,1280081,89.9,33924,2.38,89.85,77136,2.38
Brahamanbaria,,16705992B2831557138260,BGD,ADM2,education,DISTANCE,50000,2911404,1280458,89.93,377,0.03,89.88,856,0.03
Narayanganj,,16705992B28796010313895,BGD,ADM2,education,DISTANCE,5000,2981745,1059342,80.15,1059342,80.15,80.17,2981745,80.17
