name,iso,id,country,admin_level,category,range_type,range,population,under_5_population,under_5_population_share,under_5_population_interval,under_5_population_interval_share,school_age_population,school_age_population_share,school_age_population_interval,school_age_population_interval_share,adults_population,adults_population_share,adults_population_interval,adults_population_interval_share,women_childbearing_population,women_childbearing_population_share,women_childbearing_population_interval,women_childbearing_population_interval_share,elderly_population,elderly_population_share,elderly_population_interval,elderly_population_interval_share,population_share,population_interval,population_interval_share
Khulna,,16705992B21968895988188,BGD,ADM2,hospitals,TIME,1800,1716206,119902,74.14,8118,5.02,553083,74.12,37432,5.02,1581993,74.11,106753,5.0,513973,74.11,34761,5.01,147638,74.13,10035,5.04,74.11,115882,5.0
Khulna,,16705992B21968895988188,BGD,ADM2,hospitals,TIME,2400,1854255,129539,80.1,9637,5.96,597564,80.08,44481,5.96,1709248,80.07,127255,5.96,555323,80.07,41350,5.96,159512,80.09,11874,5.96,80.07,138049,5.96
Khulna,,16705992B21968895988188,BGD,ADM2,hospitals,TIME,3000,1967985,137474,85.0,7935,4.91,634201,84.99,36637,4.91,1814084,84.98,104836,4.91,589399,84.98,34076,4.91,169295,85.0,9783,4.91,84.98,113730,4.91
Khulna,,16705992B21968895988188,BGD,ADM2,hospitals,TIME,3600,2022016,141241,87.33,3767,2.33,651595,87.32,17394,2.33,1863900,87.32,49816,2.33,605578,87.32,16179,2.33,173933,87.33,4638,2.33,87.32,54031,2.33
Khulna,,16705992B21968895988188,BGD,ADM2,hospitals,TIME,4200,2083609,145545,89.99,4304,2.66,671459,89.99,19864,2.66,1920661,89.97,56761,2.66,624051,89.98,18473,2.66,179246,89.99,5313,2.67,89.98,61593,2.66
Khulna,,16705992B21968895988188,BGD,ADM2,hospitals,TIME,4800,2147109,149973,92.73,4428,2.74,691903,92.73,20444,2.74,1979206,92.72,58545,2.74,643067,92.72,19016,2.74,184699,92.73,5453,2.74,92.72,63500,2.74
Khulna,,16705992B21968895988188,BGD,ADM2,hospitals,TIME,5400,2154586,150495,93.05,522,0.32,694310,93.05,2407,0.32,1986099,93.04,6893,0.32,645306,93.04,2239,0.32,185341,93.05,642,0.32,93.04,7477,0.32
Khulna,,16705992B21968895988188,BGD,ADM2,hospitals,TIME,6000,2162798,151067,93.41,572,0.35,696954,93.4,2644,0.35,1993670,93.39,7571,0.35,647765,93.4,2459,0.35,186046,93.41,705,0.35,93.4,8212,0.35
Khulna,,16705992B21968895988188,BGD,ADM2,hospitals,TIME,6600,2164930,151216,93.5,149,0.09,697640,93.49,686,0.09,1995636,93.49,1966,0.09,648403,93.49,638,0.09,186229,93.5,183,0.09,93.49,2132,0.09
Khulna,,16705992B21968895988188,BGD,ADM2,hospitals,TIME,7200,2167257,151378,93.6,162,0.1,698389,93.59,749,0.1,1997782,93.59,2146,0.1,649100,93.59,697,0.1,186429,93.6,200,0.1,93.59,2327,0.1
Joypurhat,,16705992B2288856744536,BGD,ADM2,hospitals,TIME,600,186065,12878,20.03,12878,20.03,55656,20.03,55656,20.03,171465,20.03,171465,20.03,56834,20.03,56834,20.03,16055,20.04,16055,20.04,20.03,186065,20.03
Joypurhat,,16705992B2288856744536,BGD,ADM2,hospitals,TIME,1200,420281,29096,45.25,16218,25.22,125736,45.25,70080,25.22,387307,45.25,215842,25.22,128374,45.25,71540,25.22,36261,45.25,20206,25.22,45.25,234216,25.22
Joypurhat,,16705992B2288856744536,BGD,ADM2,hospitals,TIME,1800,639221,44257,68.82,15161,23.58,191249,68.82,65513,23.58,589075,68.82,201768,23.57,195258,68.82,66884,23.57,55147,68.82,18886,23.57,68.82,218940,23.57
Joypurhat,,16705992B2288856744536,BGD,ADM2,hospitals,TIME,2400,829751,57448,89.33,13191,20.51,248247,89.33,56998,20.51,764657,89.34,175582,20.51,253459,89.33,58201,20.51,71585,89.34,16438,20.51,89.34,190530,20.51
Joypurhat,,16705992B2288856744536,BGD,ADM2,hospitals,TIME,3000,928806,64307,100.0,6859,10.67,277886,100.0,29639,10.67,855942,100.0,91285,10.66,283718,100.0,30259,10.67,80129,100.0,8544,10.66,100.0,99055,10.66
Joypurhat,,16705992B2288856744536,BGD,ADM2,hospitals,TIME,3600,928806,64307,100.0,0,0.0,277886,100.0,0,0.0,855942,100.0,0,0.0,283718,100.0,0,0.0,80129,100.0,0,0.0,100.0,0,0.0
